url,domain_name,ip,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
http://125.44.10.163:49081/Mozi.m,125.44.10.163,125.44.10.163,49081,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://110.182.191.19:61104/.i,110.182.191.19,110.182.191.19,61104,CN,True,14,1,0,2,30,1,1,5,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://125.44.13.143:39251/i,125.44.13.143,125.44.13.143,39251,CN,True,13,1,0,1,28,1,1,5,-1,3,15,0,0,0,0,0,0,0,0,0,True
http://117.216.26.171:43923/i,117.216.26.171,117.216.26.171,43923,IN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://42.226.71.252:34349/i,42.226.71.252,42.226.71.252,34349,CN,True,13,1,0,1,28,1,1,5,-1,3,15,0,0,0,0,0,0,0,0,0,True
http://125.44.13.143:39251/bin.sh,125.44.13.143,125.44.13.143,39251,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://114.239.221.184:49982/i,114.239.221.184,114.239.221.184,49982,CN,True,15,1,0,1,30,1,1,5,-1,3,17,0,0,0,0,0,0,0,0,0,True
http://189.97.129.156:45614/Mozi.m,189.97.129.156,189.97.129.156,45614,BR,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://190.180.152.31:36290/Mozi.m,190.180.152.31,190.180.152.31,36290,AR,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://27.43.113.184:48769/Mozi.m,27.43.113.184,27.43.113.184,48769,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://123.8.173.231:35200/mozi.m,123.8.173.231,123.8.173.231,35200,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://117.213.41.181:60903/Mozi.m,117.213.41.181,117.213.41.181,60903,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://115.61.187.249:38702/Mozi.m,115.61.187.249,115.61.187.249,38702,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.216.29.68:35398/bin.sh,117.216.29.68,117.216.29.68,35398,IN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://102.53.21.225:38899/i,102.53.21.225,102.53.21.225,38899,MA,True,13,1,0,1,28,1,1,5,-1,3,15,0,0,0,0,0,0,0,0,0,True
http://123.9.105.243:50829/i,123.9.105.243,123.9.105.243,50829,CN,True,13,1,0,1,28,1,1,5,-1,3,15,0,0,0,0,0,0,0,0,0,True
http://61.54.203.66:47547/Mozi.m,61.54.203.66,61.54.203.66,47547,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://219.155.69.183:40958/Mozi.m,219.155.69.183,219.155.69.183,40958,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://27.215.83.222:50712/Mozi.m,27.215.83.222,27.215.83.222,50712,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://203.176.129.119:60891/Mozi.m,203.176.129.119,203.176.129.119,60891,KH,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://183.153.48.78:44453/Mozi.m,183.153.48.78,183.153.48.78,44453,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://179.172.30.134:34082/Mozi.a,179.172.30.134,179.172.30.134,34082,BR,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://125.44.179.217:44082/Mozi.m,125.44.179.217,125.44.179.217,44082,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://118.253.41.178:37283/Mozi.m,118.253.41.178,118.253.41.178,37283,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://115.52.4.78:57361/Mozi.m,115.52.4.78,115.52.4.78,57361,CN,True,11,1,0,6,31,1,1,9,-1,4,13,0,0,0,0,0,0,0,0,0,True
http://114.239.221.184:49982/bin.sh,114.239.221.184,114.239.221.184,49982,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://123.9.118.225:44499/bin.sh,123.9.118.225,123.9.118.225,44499,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://222.137.229.2:54352/Mozi.m,222.137.229.2,222.137.229.2,54352,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://58.252.197.240:53525/Mozi.a,58.252.197.240,58.252.197.240,53525,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://179.173.95.118:60433/Mozi.m,179.173.95.118,179.173.95.118,60433,BR,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
